epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,590.822,1.55099,1.12804,0.9596,0.69645,0.56413,0.60999,0.43511,1.55504,1.08504,0.97479,0.000455406,0.000455406,0.000455406
43,604.225,1.52834,1.10962,0.95182,0.69272,0.59341,0.63457,0.44629,1.51258,1.05331,0.96627,0.000452172,0.000452172,0.000452172
44,617.699,1.52296,1.08045,0.94913,0.71257,0.60675,0.6545,0.46444,1.51448,1.06095,0.96757,0.000448938,0.000448938,0.000448938
45,631.395,1.55015,1.10769,0.9528,0.67932,0.59651,0.6411,0.46084,1.52159,1.07569,0.96828,0.000445704,0.000445704,0.000445704
46,644.356,1.54079,1.09932,0.95248,0.74799,0.60202,0.65889,0.47046,1.50816,1.02661,0.96826,0.00044247,0.00044247,0.00044247
47,657.593,1.54034,1.09156,0.95728,0.76523,0.60429,0.66899,0.46375,1.50477,1.0281,0.96382,0.000439236,0.000439236,0.000439236
48,670.868,1.49625,1.05233,0.93908,0.69873,0.62198,0.65919,0.4696,1.53032,1.03508,0.9714,0.000436002,0.000436002,0.000436002
49,684.059,1.50317,1.05793,0.9438,0.76256,0.62742,0.67638,0.48243,1.49183,1.01613,0.96225,0.000432768,0.000432768,0.000432768
50,697.399,1.49144,1.04359,0.94797,0.75735,0.64311,0.689,0.49758,1.5023,1.02132,0.9626,0.000429534,0.000429534,0.000429534
51,710.673,1.51241,1.06123,0.94376,0.76829,0.63675,0.69698,0.48244,1.50957,1.01851,0.96785,0.0004263,0.0004263,0.0004263
52,723.856,1.48014,1.02056,0.94876,0.74202,0.63319,0.68818,0.49109,1.47499,1.01176,0.95725,0.000423066,0.000423066,0.000423066
53,736.978,1.52878,1.04773,0.94806,0.72848,0.65301,0.69767,0.49136,1.54133,0.99862,0.97038,0.000419832,0.000419832,0.000419832
54,750.476,1.54632,1.04912,0.95022,0.77522,0.65682,0.7118,0.51627,1.47713,0.97556,0.95544,0.000416598,0.000416598,0.000416598
55,763.91,1.47335,1.00538,0.93469,0.73915,0.66787,0.71683,0.51616,1.45764,0.95566,0.95159,0.000413364,0.000413364,0.000413364
56,776.836,1.48304,1.00547,0.93949,0.77906,0.65566,0.71979,0.51663,1.46216,0.95679,0.95372,0.00041013,0.00041013,0.00041013
57,789.927,1.4814,1.0246,0.94227,0.76452,0.66012,0.7124,0.51223,1.46038,0.97146,0.95416,0.000406896,0.000406896,0.000406896
58,802.966,1.49044,1.02011,0.94338,0.78458,0.63149,0.71468,0.51376,1.45587,0.96222,0.95475,0.000403662,0.000403662,0.000403662
59,816.128,1.50003,1.03422,0.94574,0.75919,0.66543,0.73159,0.52851,1.44224,0.94703,0.95097,0.000400428,0.000400428,0.000400428
60,829.065,1.45476,0.98904,0.93479,0.7829,0.67077,0.72853,0.52736,1.45082,0.94446,0.95206,0.000397194,0.000397194,0.000397194
61,842.778,1.45594,0.99213,0.93601,0.79029,0.66826,0.73016,0.53245,1.44831,0.94084,0.94969,0.00039396,0.00039396,0.00039396
62,855.166,1.45636,0.99554,0.93564,0.80932,0.67957,0.74102,0.5413,1.43202,0.92734,0.9469,0.000390726,0.000390726,0.000390726
63,868.175,1.46737,0.98187,0.93576,0.74489,0.67614,0.72255,0.52531,1.45297,0.95609,0.95279,0.000387492,0.000387492,0.000387492
64,881.247,1.43995,0.97129,0.93441,0.80144,0.66114,0.72655,0.52518,1.4597,0.95757,0.95277,0.000384258,0.000384258,0.000384258
65,894.612,1.44797,0.9622,0.93221,0.76612,0.6853,0.74008,0.52671,1.43281,0.93709,0.94725,0.000381024,0.000381024,0.000381024
66,907.721,1.45013,0.97118,0.92515,0.79316,0.67378,0.73276,0.5272,1.44947,0.92815,0.95071,0.00037779,0.00037779,0.00037779
67,920.805,1.45381,0.98038,0.93159,0.79444,0.67432,0.73704,0.53404,1.45868,0.92784,0.94944,0.000374556,0.000374556,0.000374556
68,933.967,1.48325,0.98334,0.93615,0.79159,0.68259,0.73343,0.53269,1.45735,0.92303,0.95167,0.000371322,0.000371322,0.000371322
69,947.388,1.46117,0.97416,0.92904,0.76623,0.69691,0.74537,0.54487,1.42494,0.909,0.94404,0.000368088,0.000368088,0.000368088
70,960.456,1.43611,0.95019,0.92361,0.82586,0.67704,0.75065,0.54734,1.42628,0.90654,0.94451,0.000364854,0.000364854,0.000364854
71,972.611,1.44514,0.96394,0.93279,0.77776,0.68432,0.73441,0.53211,1.43692,0.91353,0.94692,0.00036162,0.00036162,0.00036162
72,986.972,1.45343,0.96129,0.92926,0.77067,0.66996,0.74351,0.53718,1.4426,0.91962,0.94641,0.000358386,0.000358386,0.000358386
73,999.848,1.42562,0.94731,0.93258,0.81367,0.68498,0.75329,0.55149,1.41108,0.90105,0.94102,0.000355152,0.000355152,0.000355152
74,1013.48,1.43829,0.93909,0.92487,0.82109,0.69269,0.7612,0.55346,1.40689,0.89001,0.9388,0.000351918,0.000351918,0.000351918
75,1026.82,1.45619,0.94167,0.92691,0.80965,0.68452,0.75633,0.54083,1.45048,0.91243,0.95307,0.000348684,0.000348684,0.000348684
76,1041.04,1.45901,0.9465,0.93153,0.82245,0.70064,0.76226,0.56154,1.41255,0.89094,0.93961,0.00034545,0.00034545,0.00034545
77,1054.52,1.45349,0.94811,0.93352,0.84016,0.68161,0.75708,0.56182,1.4128,0.87871,0.93885,0.000342216,0.000342216,0.000342216
78,1067.55,1.42804,0.91411,0.92848,0.83011,0.69882,0.76135,0.55921,1.41189,0.87317,0.94119,0.000338982,0.000338982,0.000338982
79,1080.54,1.45263,0.92946,0.9295,0.83313,0.70167,0.76532,0.54867,1.45195,0.87982,0.95041,0.000335748,0.000335748,0.000335748
80,1093.51,1.43841,0.91735,0.92711,0.82924,0.69337,0.76562,0.54821,1.45383,0.89815,0.94886,0.000332514,0.000332514,0.000332514
81,1105.84,1.45121,0.93216,0.93105,0.8155,0.71199,0.77739,0.56188,1.41231,0.86636,0.93727,0.00032928,0.00032928,0.00032928
82,1119.09,1.41571,0.9037,0.91898,0.84366,0.7188,0.78593,0.57716,1.39442,0.85571,0.9354,0.000326046,0.000326046,0.000326046
83,1132.13,1.41832,0.89896,0.92235,0.85717,0.71821,0.78921,0.58082,1.38569,0.84395,0.93455,0.000322812,0.000322812,0.000322812
84,1144.49,1.40175,0.90499,0.92059,0.84543,0.71977,0.79001,0.57954,1.38118,0.84167,0.93384,0.000319578,0.000319578,0.000319578
85,1158.13,1.41619,0.91323,0.91805,0.81474,0.70751,0.76843,0.5582,1.40607,0.85526,0.93838,0.000316344,0.000316344,0.000316344
86,1170.93,1.41269,0.9087,0.92035,0.82948,0.70845,0.7805,0.57697,1.38283,0.84759,0.93322,0.00031311,0.00031311,0.00031311
87,1184.38,1.38609,0.90268,0.91707,0.85834,0.72205,0.78667,0.58441,1.36895,0.82919,0.92875,0.000309876,0.000309876,0.000309876
88,1197.49,1.40721,0.89041,0.92065,0.8371,0.72488,0.78309,0.57377,1.40429,0.85001,0.93561,0.000306642,0.000306642,0.000306642
89,1210.71,1.4083,0.89892,0.91746,0.83833,0.72904,0.78838,0.58336,1.37928,0.837,0.93144,0.000303408,0.000303408,0.000303408
90,1223.94,1.39729,0.88331,0.91726,0.82794,0.7219,0.78713,0.5849,1.38857,0.85361,0.93457,0.000300174,0.000300174,0.000300174
91,1236.01,1.39456,0.88085,0.92197,0.83403,0.73216,0.79129,0.58634,1.37333,0.82697,0.93212,0.00029694,0.00029694,0.00029694
92,1248.95,1.36033,0.85825,0.91388,0.83518,0.73254,0.79139,0.58603,1.37467,0.82618,0.93138,0.000293706,0.000293706,0.000293706
93,1261.55,1.3927,0.89015,0.91945,0.81977,0.71451,0.78485,0.58567,1.36884,0.83038,0.92967,0.000290472,0.000290472,0.000290472
94,1275.25,1.37744,0.88208,0.91476,0.85039,0.69889,0.78517,0.57681,1.37762,0.86123,0.93139,0.000287238,0.000287238,0.000287238
95,1288.64,1.36346,0.86968,0.91498,0.86018,0.73475,0.79983,0.59575,1.36933,0.82698,0.92832,0.000284004,0.000284004,0.000284004
96,1301.71,1.38196,0.88547,0.91646,0.85495,0.71741,0.78926,0.56998,1.41112,0.84741,0.93744,0.00028077,0.00028077,0.00028077
97,1315.24,1.37174,0.87193,0.91193,0.8657,0.71761,0.79147,0.58467,1.37339,0.83515,0.93209,0.000277536,0.000277536,0.000277536
98,1328.03,1.37857,0.86727,0.91493,0.84641,0.73994,0.80419,0.59262,1.37901,0.82815,0.93264,0.000274302,0.000274302,0.000274302
99,1341.47,1.39282,0.8905,0.9156,0.85049,0.73026,0.78758,0.58657,1.39866,0.84061,0.9338,0.000271068,0.000271068,0.000271068
100,1354.35,1.3669,0.86055,0.91426,0.84821,0.74544,0.8053,0.60438,1.35478,0.80635,0.9268,0.000267834,0.000267834,0.000267834
101,1367.65,1.37943,0.87392,0.9132,0.82712,0.71731,0.78458,0.58033,1.36481,0.81498,0.92912,0.0002646,0.0002646,0.0002646
102,1380.58,1.37895,0.87247,0.91928,0.83193,0.72761,0.79175,0.57601,1.36991,0.83141,0.92894,0.000261366,0.000261366,0.000261366
103,1393.76,1.39175,0.88361,0.91935,0.83924,0.73222,0.8007,0.59373,1.37341,0.82374,0.9307,0.000258132,0.000258132,0.000258132
104,1406.97,1.356,0.84905,0.9124,0.85436,0.73662,0.80409,0.60056,1.36042,0.80969,0.9266,0.000254898,0.000254898,0.000254898
105,1419.84,1.34972,0.84987,0.91168,0.88087,0.73268,0.80504,0.59851,1.3513,0.80281,0.92677,0.000251664,0.000251664,0.000251664
106,1433.09,1.36135,0.85951,0.91251,0.82674,0.72972,0.79442,0.58951,1.36247,0.82904,0.92762,0.00024843,0.00024843,0.00024843
107,1446.36,1.38388,0.86837,0.91522,0.843,0.74788,0.80257,0.59702,1.35711,0.80173,0.92647,0.000245196,0.000245196,0.000245196
108,1458.5,1.37092,0.85582,0.91039,0.84144,0.75227,0.81481,0.60356,1.3645,0.80921,0.92679,0.000241962,0.000241962,0.000241962
109,1472.46,1.35651,0.84564,0.90713,0.85634,0.74194,0.80408,0.60668,1.34129,0.80163,0.92442,0.000238728,0.000238728,0.000238728
110,1485.42,1.35779,0.84082,0.90558,0.85109,0.74981,0.80955,0.61024,1.33457,0.78849,0.92287,0.000235494,0.000235494,0.000235494
111,1498.25,1.33761,0.83639,0.90522,0.87125,0.74582,0.81263,0.61283,1.33659,0.78465,0.92191,0.00023226,0.00023226,0.00023226
112,1510.93,1.33508,0.82887,0.90619,0.87059,0.73738,0.80402,0.60551,1.33531,0.78679,0.92067,0.000229026,0.000229026,0.000229026
113,1524.11,1.34405,0.83545,0.90793,0.8304,0.77005,0.81216,0.60937,1.33601,0.78786,0.92298,0.000225792,0.000225792,0.000225792
114,1537.8,1.35483,0.84546,0.9107,0.86403,0.75517,0.81238,0.60844,1.33244,0.78809,0.92083,0.000222558,0.000222558,0.000222558
