epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3302.55,1.60814,1.21519,0.96839,0.64389,0.56857,0.59647,0.41263,1.56453,1.13656,0.96982,0.000428887,0.000428887,0.000428887
43,3370.88,1.59274,1.18513,0.96607,0.61317,0.57048,0.60589,0.42805,1.52809,1.10808,0.96316,0.000425006,0.000425006,0.000425006
44,3426.3,1.60625,1.20822,0.96309,0.63211,0.60401,0.62801,0.44034,1.54576,1.1031,0.96643,0.000421126,0.000421126,0.000421126
45,3598.24,1.61101,1.19478,0.96122,0.7433,0.57003,0.63132,0.44292,1.52905,1.099,0.96293,0.000417245,0.000417245,0.000417245
46,3626.9,1.59365,1.16712,0.95761,0.65381,0.59452,0.62653,0.43149,1.55322,1.08726,0.96542,0.000413364,0.000413364,0.000413364
47,3704.45,1.60193,1.17546,0.95842,0.67428,0.58648,0.62424,0.43866,1.53904,1.09368,0.9624,0.000409483,0.000409483,0.000409483
48,3759.64,1.57817,1.15906,0.95895,0.70208,0.59067,0.64353,0.45429,1.51253,1.06323,0.95946,0.000405602,0.000405602,0.000405602
49,3806.75,1.56365,1.1369,0.95684,0.70368,0.58654,0.64387,0.45465,1.50476,1.06283,0.95827,0.000401722,0.000401722,0.000401722
50,3890.02,1.58559,1.14197,0.95567,0.75863,0.57938,0.6574,0.46934,1.51864,1.07396,0.95878,0.000397841,0.000397841,0.000397841
51,3923.27,1.54416,1.13226,0.94496,0.6862,0.60537,0.64561,0.45985,1.51643,1.06791,0.95659,0.00039396,0.00039396,0.00039396
52,3981.54,1.54802,1.12355,0.94845,0.72409,0.61115,0.65534,0.47078,1.49829,1.05191,0.95529,0.000390079,0.000390079,0.000390079
53,4025.1,1.56896,1.131,0.94804,0.7285,0.61038,0.66585,0.4763,1.49754,1.03392,0.95596,0.000386198,0.000386198,0.000386198
54,4060.1,1.55316,1.11759,0.95193,0.72541,0.59181,0.6517,0.46605,1.49997,1.03435,0.9545,0.000382318,0.000382318,0.000382318
55,4104.85,1.55582,1.11971,0.95004,0.73475,0.62602,0.672,0.47859,1.48874,1.01795,0.95103,0.000378437,0.000378437,0.000378437
56,4160.55,1.54563,1.09792,0.94976,0.76549,0.61154,0.67926,0.48582,1.48212,1.01393,0.95028,0.000374556,0.000374556,0.000374556
57,4238.53,1.57367,1.12797,0.95088,0.72608,0.61962,0.67197,0.48519,1.49481,1.01493,0.95138,0.000370675,0.000370675,0.000370675
58,4273.58,1.52682,1.08275,0.94338,0.72859,0.62292,0.67628,0.48621,1.47282,1.00122,0.94938,0.000366794,0.000366794,0.000366794
59,4352.31,1.51174,1.07513,0.94141,0.77929,0.61669,0.69219,0.49784,1.47516,0.99614,0.95145,0.000362914,0.000362914,0.000362914
60,4392.37,1.52457,1.09444,0.94593,0.69941,0.63976,0.67691,0.48804,1.47848,1.00956,0.94986,0.000359033,0.000359033,0.000359033
61,4423.33,1.55217,1.08884,0.94758,0.7187,0.63143,0.67416,0.48572,1.4743,1.0185,0.94881,0.000355152,0.000355152,0.000355152
62,4505.69,1.5109,1.05398,0.94244,0.71488,0.64353,0.69105,0.49109,1.48879,0.9879,0.94882,0.000351271,0.000351271,0.000351271
63,4550.85,1.52415,1.06658,0.94188,0.74154,0.63157,0.68544,0.49535,1.44963,0.97387,0.94318,0.00034739,0.00034739,0.00034739
64,4603.49,1.50914,1.05528,0.93803,0.75969,0.64115,0.69793,0.50336,1.45076,0.97153,0.94256,0.00034351,0.00034351,0.00034351
65,4646.61,1.54797,1.06033,0.94327,0.72833,0.65437,0.69461,0.50182,1.45209,0.96576,0.94426,0.000339629,0.000339629,0.000339629
66,4729.31,1.52221,1.05545,0.94219,0.74076,0.65042,0.70485,0.49548,1.47264,0.97222,0.94684,0.000335748,0.000335748,0.000335748
67,4762.69,1.53445,1.05389,0.94159,0.7623,0.64686,0.70727,0.50311,1.47592,0.99851,0.94807,0.000331867,0.000331867,0.000331867
68,4789.21,1.49339,1.03431,0.93486,0.77518,0.64409,0.709,0.51458,1.44812,0.95526,0.9441,0.000327986,0.000327986,0.000327986
69,4831.61,1.48803,1.03154,0.93282,0.74874,0.64911,0.7032,0.50037,1.46256,0.96844,0.94435,0.000324106,0.000324106,0.000324106
