epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,583.181,2.15366,4.31673,1.22616,0.03195,0.19218,0.06414,0.03885,2.0461,4.10911,1.06986,0.000193118,0.000193118,0.000193118
2,727.774,2.15835,3.55812,1.11262,0.65687,0.08515,0.09175,0.05257,2.01824,3.14021,1.07422,0.000386549,0.000386549,0.000386549
3,971.37,2.12616,2.90117,1.09282,0.6427,0.15246,0.11532,0.06423,2.02766,2.28964,1.08167,0.000577394,0.000577394,0.000577394
4,1107.4,2.11758,2.45351,1.08912,0.57832,0.16028,0.11534,0.06325,1.96718,2.09204,1.07064,0.000576358,0.000576358,0.000576358
5,1166.48,2.02257,2.16839,1.06473,0.11559,0.22904,0.14284,0.08261,1.87142,1.9211,1.07103,0.000572477,0.000572477,0.000572477
6,1237.11,1.97557,2.03241,1.06645,0.31304,0.2302,0.17193,0.10433,1.83468,1.78273,1.05947,0.000568596,0.000568596,0.000568596
7,1305.19,1.89732,1.8838,1.04801,0.51874,0.25847,0.20058,0.12806,1.79315,1.7108,1.04816,0.000564715,0.000564715,0.000564715
8,1365.59,1.90131,1.83633,1.04508,0.64298,0.23176,0.20874,0.12478,1.787,1.76012,1.0411,0.000560834,0.000560834,0.000560834
9,1436.53,1.87927,1.77536,1.04072,0.46596,0.31882,0.23464,0.14617,1.78653,1.64317,1.03047,0.000556954,0.000556954,0.000556954
10,1591.74,1.85428,1.7554,1.03877,0.57459,0.30396,0.27317,0.17836,1.71874,1.5846,1.02128,0.000553073,0.000553073,0.000553073
11,1635.85,1.78997,1.6559,1.02203,0.55955,0.29908,0.2829,0.16185,1.92907,1.58157,1.06227,0.000549192,0.000549192,0.000549192
12,1723.99,1.82857,1.6595,1.02615,0.56134,0.3227,0.30892,0.20124,1.73892,1.50312,1.03201,0.000545311,0.000545311,0.000545311
13,1813.43,1.78262,1.6457,1.0158,0.47085,0.32777,0.31321,0.19862,1.78951,1.51244,1.02719,0.00054143,0.00054143,0.00054143
14,1941.31,1.76868,1.57904,1.01222,0.60478,0.34697,0.3579,0.23603,1.71271,1.42764,1.01542,0.00053755,0.00053755,0.00053755
15,2014.23,1.7472,1.55551,1.00934,0.5339,0.33752,0.34192,0.2281,1.74999,1.45179,1.04418,0.000533669,0.000533669,0.000533669
16,2134.88,1.78114,1.54547,1.01483,0.52564,0.35255,0.37244,0.23887,1.72085,1.42803,1.01111,0.000529788,0.000529788,0.000529788
17,2226.82,1.7343,1.50685,1.00825,0.51457,0.38652,0.37164,0.24629,1.66334,1.39829,1.00362,0.000525907,0.000525907,0.000525907
18,2533.74,1.72605,1.4846,1.0033,0.58938,0.36632,0.41516,0.28151,1.62036,1.32687,0.99188,0.000522026,0.000522026,0.000522026
19,2583.63,1.74753,1.46769,1.0048,0.49595,0.44892,0.43314,0.29537,1.64803,1.32845,1.01021,0.000518146,0.000518146,0.000518146
20,2663.9,1.7065,1.45133,0.99705,0.58462,0.42805,0.44849,0.30155,1.63976,1.32358,0.99758,0.000514265,0.000514265,0.000514265
21,2709.61,1.69552,1.39988,0.99579,0.50573,0.45754,0.45877,0.31115,1.60557,1.28776,0.98725,0.000510384,0.000510384,0.000510384
22,2794.88,1.69637,1.4027,0.98919,0.60568,0.48233,0.49238,0.33079,1.61412,1.27807,0.98728,0.000506503,0.000506503,0.000506503
23,2966.92,1.68374,1.37818,0.99197,0.66168,0.45426,0.47355,0.32269,1.59637,1.28625,0.9854,0.000502622,0.000502622,0.000502622
24,3022.5,1.67911,1.37358,0.98419,0.60456,0.45082,0.50485,0.34508,1.59376,1.24283,0.9879,0.000498742,0.000498742,0.000498742
25,3145.67,1.6498,1.32755,0.98627,0.62175,0.48229,0.50085,0.34134,1.60244,1.25423,0.98895,0.000494861,0.000494861,0.000494861
26,3237.06,1.64572,1.30865,0.98101,0.53809,0.52381,0.52638,0.36408,1.58766,1.22169,0.98562,0.00049098,0.00049098,0.00049098
27,3259.55,1.63904,1.28298,0.98227,0.60422,0.48814,0.52143,0.35012,1.65152,1.23385,0.99059,0.000487099,0.000487099,0.000487099
28,3302.62,1.64418,1.28518,0.9846,0.61149,0.50569,0.54,0.37266,1.56913,1.19264,0.9784,0.000483218,0.000483218,0.000483218
29,3358.19,1.64903,1.29737,0.97627,0.59045,0.49624,0.52362,0.34667,1.59302,1.22372,0.9816,0.000479338,0.000479338,0.000479338
30,3405.77,1.64108,1.27605,0.9841,0.6159,0.52391,0.55444,0.3758,1.57724,1.19929,0.97571,0.000475457,0.000475457,0.000475457
31,3515.68,1.64208,1.25869,0.97448,0.60412,0.53595,0.56611,0.39684,1.57584,1.17957,0.98355,0.000471576,0.000471576,0.000471576
32,3601.09,1.6421,1.25581,0.97682,0.64035,0.52539,0.56053,0.38949,1.53681,1.14198,0.97377,0.000467695,0.000467695,0.000467695
33,3656.49,1.59605,1.22367,0.96874,0.67466,0.53892,0.58235,0.40866,1.55133,1.14732,0.97363,0.000463814,0.000463814,0.000463814
34,3738.3,1.60591,1.22374,0.96174,0.6778,0.54911,0.59881,0.41579,1.53963,1.11202,0.97437,0.000459934,0.000459934,0.000459934
35,3779.01,1.58348,1.21507,0.96767,0.61022,0.57897,0.60404,0.41822,1.53727,1.13137,0.97226,0.000456053,0.000456053,0.000456053
36,3810.2,1.58271,1.198,0.9687,0.65653,0.55684,0.59089,0.39969,1.57269,1.14988,0.9788,0.000452172,0.000452172,0.000452172
37,3829.53,1.59349,1.20507,0.96675,0.67226,0.57924,0.6179,0.43605,1.53502,1.09151,0.96916,0.000448291,0.000448291,0.000448291
38,3891.61,1.61808,1.19876,0.96744,0.70023,0.57275,0.61461,0.43089,1.51048,1.08307,0.96183,0.00044441,0.00044441,0.00044441
39,3959.98,1.54909,1.13589,0.95413,0.6721,0.60689,0.64255,0.45946,1.51498,1.07807,0.96421,0.00044053,0.00044053,0.00044053
40,4008.71,1.59378,1.17658,0.96653,0.69437,0.58189,0.63149,0.439,1.51988,1.09235,0.96251,0.000436649,0.000436649,0.000436649
41,4094.69,1.57066,1.15871,0.96127,0.68537,0.58609,0.64024,0.4521,1.50956,1.09071,0.96416,0.000432768,0.000432768,0.000432768
42,4181.47,1.57807,1.1614,0.96064,0.72039,0.58249,0.64347,0.46113,1.50661,1.09585,0.96151,0.000428887,0.000428887,0.000428887
43,4236.6,1.54541,1.13054,0.95936,0.66627,0.59322,0.6334,0.44547,1.53146,1.08371,0.96667,0.000425006,0.000425006,0.000425006
44,4321.72,1.53214,1.13277,0.95168,0.74556,0.61206,0.66354,0.47397,1.50305,1.03905,0.9669,0.000421126,0.000421126,0.000421126
45,4527.7,1.54025,1.12467,0.94943,0.7305,0.61603,0.66652,0.47167,1.50825,1.04502,0.96192,0.000417245,0.000417245,0.000417245
46,4628.4,1.54305,1.10746,0.95283,0.71563,0.60941,0.65732,0.474,1.48664,1.02643,0.95943,0.000413364,0.000413364,0.000413364
47,4697.26,1.53829,1.09822,0.956,0.75646,0.63364,0.68681,0.4894,1.48912,1.01152,0.95667,0.000409483,0.000409483,0.000409483
48,4837.53,1.54419,1.09937,0.95012,0.76348,0.6023,0.67826,0.47907,1.51427,1.02204,0.96112,0.000405602,0.000405602,0.000405602
49,4899.05,1.53945,1.09766,0.95359,0.71141,0.61774,0.67524,0.48283,1.48978,1.01518,0.95754,0.000401722,0.000401722,0.000401722
50,4947.44,1.49294,1.06854,0.94996,0.7407,0.63478,0.69086,0.49879,1.49502,1.01759,0.95791,0.000397841,0.000397841,0.000397841
51,5030.98,1.51738,1.07653,0.9478,0.76004,0.62767,0.69124,0.50147,1.47056,1.01236,0.95488,0.00039396,0.00039396,0.00039396
52,5153.96,1.50702,1.06942,0.93996,0.7582,0.61143,0.68687,0.49971,1.47244,1.01443,0.95778,0.000390079,0.000390079,0.000390079
53,5192.42,1.52264,1.06789,0.94747,0.70127,0.64894,0.69306,0.49649,1.48958,1.00503,0.95981,0.000386198,0.000386198,0.000386198
54,5258.26,1.5063,1.05363,0.94469,0.7504,0.64581,0.71179,0.51361,1.47059,0.98213,0.95322,0.000382318,0.000382318,0.000382318
55,5318.6,1.51972,1.06111,0.94623,0.79154,0.62735,0.70556,0.51465,1.46052,0.97365,0.95174,0.000378437,0.000378437,0.000378437
56,5383.39,1.47933,1.02826,0.94248,0.80374,0.63316,0.71137,0.50921,1.4724,0.9807,0.95026,0.000374556,0.000374556,0.000374556
57,5470.39,1.50854,1.05086,0.94688,0.78449,0.65622,0.70374,0.51296,1.46968,0.98766,0.95239,0.000370675,0.000370675,0.000370675
58,5542.64,1.47191,1.01344,0.93991,0.75805,0.63875,0.70859,0.50691,1.46901,0.98644,0.95066,0.000366794,0.000366794,0.000366794
59,5650.97,1.49694,1.03211,0.9413,0.74771,0.65813,0.70895,0.51186,1.4604,0.9809,0.94746,0.000362914,0.000362914,0.000362914
60,5709.02,1.49606,1.03784,0.94017,0.77652,0.64929,0.70437,0.50413,1.46582,0.97794,0.95128,0.000359033,0.000359033,0.000359033
61,5817.44,1.49039,1.02034,0.93694,0.74489,0.67403,0.71534,0.51864,1.44512,0.95038,0.94665,0.000355152,0.000355152,0.000355152
62,5881.87,1.48063,1.00757,0.9402,0.77773,0.66565,0.73416,0.53153,1.4476,0.93719,0.94569,0.000351271,0.000351271,0.000351271
63,5952.9,1.47191,1.00628,0.93838,0.76132,0.6702,0.72348,0.52506,1.44255,0.9381,0.94572,0.00034739,0.00034739,0.00034739
64,6056.53,1.4524,0.9824,0.93057,0.80906,0.65068,0.73253,0.53503,1.42395,0.93203,0.94185,0.00034351,0.00034351,0.00034351
65,6288.84,1.48204,1.00395,0.93032,0.79817,0.66661,0.73148,0.5301,1.45983,0.94486,0.95082,0.000339629,0.000339629,0.000339629
66,6567.01,1.44691,0.97859,0.93256,0.7859,0.66582,0.73831,0.53716,1.44688,0.93106,0.94625,0.000335748,0.000335748,0.000335748
67,6655.18,1.4653,0.98448,0.93734,0.80746,0.66092,0.7323,0.52894,1.46693,0.9388,0.94789,0.000331867,0.000331867,0.000331867
68,6712.74,1.47129,0.98404,0.93844,0.81083,0.67718,0.75092,0.54414,1.44275,0.9255,0.9444,0.000327986,0.000327986,0.000327986
69,6915.19,1.45109,0.9718,0.93254,0.83017,0.68359,0.75504,0.55124,1.42627,0.91493,0.94186,0.000324106,0.000324106,0.000324106
70,7081.8,1.45039,0.97865,0.92817,0.76569,0.69219,0.74544,0.53467,1.43377,0.92076,0.94418,0.000320225,0.000320225,0.000320225
71,7134.36,1.4469,0.97475,0.92511,0.77594,0.69017,0.74872,0.54341,1.42393,0.91349,0.94095,0.000316344,0.000316344,0.000316344
72,7301.38,1.47212,0.98784,0.93309,0.77129,0.69745,0.75149,0.55117,1.41504,0.91282,0.9376,0.000312463,0.000312463,0.000312463
73,7347.25,1.44168,0.95108,0.93056,0.77241,0.67988,0.7392,0.54776,1.40845,0.90927,0.93634,0.000308582,0.000308582,0.000308582
74,7445.71,1.43354,0.95346,0.92529,0.77845,0.69069,0.74657,0.54772,1.40357,0.90668,0.93764,0.000304702,0.000304702,0.000304702
75,7531,1.43656,0.95171,0.92894,0.78266,0.69222,0.7459,0.5479,1.40976,0.89808,0.93672,0.000300821,0.000300821,0.000300821
76,7617.27,1.43955,0.94928,0.92478,0.7433,0.69905,0.74086,0.54664,1.41243,0.89806,0.93827,0.00029694,0.00029694,0.00029694
77,7738.34,1.44493,0.94841,0.92927,0.80264,0.70629,0.76124,0.55934,1.40707,0.8858,0.93523,0.000293059,0.000293059,0.000293059
78,7816.02,1.42103,0.94534,0.92152,0.82528,0.68078,0.75333,0.54888,1.41179,0.89662,0.93909,0.000289178,0.000289178,0.000289178
79,7912.23,1.42945,0.94282,0.92667,0.83541,0.66295,0.74732,0.5423,1.41276,0.89227,0.93881,0.000285298,0.000285298,0.000285298
80,8110.1,1.43153,0.94485,0.92555,0.7968,0.68454,0.75373,0.5511,1.40559,0.88823,0.93496,0.000281417,0.000281417,0.000281417
81,8183.76,1.4178,0.92791,0.91791,0.82486,0.69038,0.75938,0.56332,1.3927,0.88369,0.93305,0.000277536,0.000277536,0.000277536
82,8320.14,1.41972,0.9224,0.9224,0.83404,0.68877,0.76179,0.56122,1.39727,0.87177,0.93642,0.000273655,0.000273655,0.000273655
83,8422.5,1.42174,0.92561,0.92695,0.82529,0.70747,0.76684,0.5581,1.39842,0.87149,0.93276,0.000269774,0.000269774,0.000269774
84,8450.06,1.43536,0.92728,0.92413,0.81763,0.70413,0.76582,0.56318,1.38548,0.86522,0.93103,0.000265894,0.000265894,0.000265894
85,8534.72,1.42794,0.93441,0.91948,0.83556,0.70501,0.77533,0.5698,1.39557,0.86083,0.93107,0.000262013,0.000262013,0.000262013
86,8652.75,1.42684,0.93227,0.92592,0.83045,0.71152,0.77381,0.56998,1.39604,0.86007,0.93334,0.000258132,0.000258132,0.000258132
87,8743.46,1.39074,0.90382,0.91697,0.77348,0.7306,0.77567,0.573,1.3894,0.85694,0.93207,0.000254251,0.000254251,0.000254251
88,9092.91,1.44375,0.9328,0.91814,0.80284,0.7199,0.7755,0.56803,1.37564,0.86013,0.931,0.00025037,0.00025037,0.00025037
89,9113.09,1.40961,0.91369,0.92164,0.80253,0.73085,0.77884,0.57719,1.37294,0.84871,0.92982,0.00024649,0.00024649,0.00024649
90,9220.74,1.39463,0.89949,0.91849,0.79383,0.73137,0.77107,0.57702,1.38468,0.86279,0.9303,0.000242609,0.000242609,0.000242609
91,9437.48,1.40816,0.91592,0.91356,0.81624,0.73206,0.77758,0.57638,1.37859,0.86075,0.92967,0.000238728,0.000238728,0.000238728
92,9550.63,1.41066,0.90941,0.92033,0.78609,0.71861,0.77036,0.56784,1.39007,0.86125,0.93108,0.000234847,0.000234847,0.000234847
93,9622.16,1.37728,0.89087,0.91683,0.84436,0.7148,0.77613,0.57192,1.3883,0.85925,0.93051,0.000230966,0.000230966,0.000230966
94,9808.03,1.4294,0.9157,0.91749,0.78556,0.73671,0.7845,0.58304,1.37664,0.84507,0.9285,0.000227086,0.000227086,0.000227086
95,9979.39,1.4034,0.9039,0.91373,0.80596,0.73806,0.78498,0.57921,1.37987,0.85111,0.92854,0.000223205,0.000223205,0.000223205
96,10079.8,1.38586,0.88112,0.91379,0.8185,0.73138,0.78957,0.58416,1.3702,0.84082,0.92944,0.000219324,0.000219324,0.000219324
97,10150.1,1.3893,0.88255,0.91871,0.80856,0.7386,0.78736,0.58229,1.37585,0.83541,0.92842,0.000215443,0.000215443,0.000215443
98,10252,1.37216,0.8782,0.9131,0.82208,0.73398,0.77844,0.57821,1.37098,0.83116,0.92589,0.000211562,0.000211562,0.000211562
99,10536.1,1.38641,0.88709,0.91445,0.83577,0.72831,0.79111,0.59336,1.35691,0.83135,0.92441,0.000207682,0.000207682,0.000207682
100,10648.3,1.37993,0.87232,0.91473,0.84119,0.72814,0.79169,0.59391,1.35985,0.83392,0.9244,0.000203801,0.000203801,0.000203801
101,10761.6,1.37573,0.87114,0.91273,0.85778,0.72164,0.79303,0.58874,1.37109,0.83195,0.92693,0.00019992,0.00019992,0.00019992
102,10982.2,1.38761,0.87544,0.91919,0.82553,0.74204,0.79185,0.58911,1.35605,0.82952,0.92429,0.000196039,0.000196039,0.000196039
103,11075,1.36955,0.88027,0.90689,0.84047,0.73265,0.79554,0.59228,1.362,0.82427,0.92534,0.000192158,0.000192158,0.000192158
104,11224.5,1.37644,0.87017,0.91515,0.85035,0.72414,0.79181,0.59316,1.34886,0.81708,0.92199,0.000188278,0.000188278,0.000188278
105,11277.4,1.37315,0.8671,0.91242,0.84833,0.72307,0.7885,0.58497,1.35304,0.81801,0.92261,0.000184397,0.000184397,0.000184397
106,11328.7,1.36496,0.86172,0.91044,0.82258,0.74589,0.79335,0.591,1.35057,0.81294,0.9202,0.000180516,0.000180516,0.000180516
107,11455.3,1.33959,0.85703,0.90735,0.82988,0.74132,0.80006,0.59787,1.35377,0.81435,0.92253,0.000176635,0.000176635,0.000176635
108,11589.5,1.38391,0.87567,0.91143,0.84004,0.74733,0.80295,0.59861,1.33908,0.81723,0.92096,0.000172754,0.000172754,0.000172754
109,11663.5,1.36317,0.8609,0.90673,0.82891,0.7384,0.79647,0.5871,1.34552,0.82378,0.9214,0.000168874,0.000168874,0.000168874
110,11784.7,1.36991,0.86264,0.90982,0.84585,0.73829,0.79838,0.59841,1.34767,0.80986,0.92187,0.000164993,0.000164993,0.000164993
111,11930.4,1.35127,0.84387,0.90466,0.82996,0.74895,0.80041,0.59884,1.35177,0.80804,0.92178,0.000161112,0.000161112,0.000161112
112,11993.9,1.36605,0.85841,0.90826,0.8188,0.75339,0.8003,0.60011,1.34534,0.80894,0.92191,0.000157231,0.000157231,0.000157231
113,12235.7,1.3686,0.86372,0.91131,0.83331,0.74524,0.79846,0.59942,1.34355,0.80546,0.92053,0.00015335,0.00015335,0.00015335
114,12420.7,1.33883,0.84621,0.90434,0.84793,0.7339,0.79773,0.59405,1.35084,0.80839,0.92142,0.00014947,0.00014947,0.00014947
115,12519.8,1.36446,0.85469,0.9053,0.82767,0.74385,0.79484,0.59615,1.33782,0.80551,0.91816,0.000145589,0.000145589,0.000145589
116,12577.3,1.34582,0.84445,0.90842,0.8262,0.75476,0.79991,0.6027,1.33263,0.79778,0.91827,0.000141708,0.000141708,0.000141708
117,12662.2,1.33922,0.84472,0.90422,0.85232,0.74819,0.80507,0.60277,1.33701,0.79713,0.91862,0.000137827,0.000137827,0.000137827
118,12780,1.35607,0.85178,0.90833,0.8585,0.74136,0.80143,0.59819,1.34153,0.80611,0.92081,0.000133946,0.000133946,0.000133946
119,12847.4,1.35905,0.84432,0.90731,0.83893,0.74799,0.80252,0.60482,1.33373,0.80363,0.91806,0.000130066,0.000130066,0.000130066
120,13053.4,1.35994,0.85021,0.90623,0.84218,0.74845,0.80737,0.60481,1.34469,0.80278,0.92038,0.000126185,0.000126185,0.000126185
121,13139.6,1.32735,0.82865,0.90431,0.83551,0.75398,0.8055,0.6021,1.33424,0.79813,0.91961,0.000122304,0.000122304,0.000122304
122,13214.2,1.32852,0.83077,0.90337,0.84823,0.75478,0.81091,0.60751,1.33404,0.7906,0.91737,0.000118423,0.000118423,0.000118423
123,13249,1.34243,0.83735,0.90528,0.84759,0.74697,0.80403,0.60794,1.32734,0.79221,0.91665,0.000114542,0.000114542,0.000114542
124,13373.6,1.32824,0.8293,0.90361,0.82644,0.75343,0.80043,0.60394,1.33039,0.79431,0.91663,0.000110662,0.000110662,0.000110662
125,13429.6,1.32948,0.83521,0.90453,0.84728,0.74997,0.8055,0.60611,1.32812,0.78776,0.9159,0.000106781,0.000106781,0.000106781
126,13487.9,1.33541,0.82814,0.90249,0.83764,0.76459,0.81243,0.61036,1.32388,0.78943,0.91572,0.0001029,0.0001029,0.0001029
127,13550.5,1.32293,0.81935,0.90385,0.86553,0.75129,0.80988,0.60718,1.3205,0.79004,0.91626,9.90192e-05,9.90192e-05,9.90192e-05
128,13680.5,1.34538,0.8375,0.90333,0.86258,0.75621,0.81873,0.61533,1.31575,0.77924,0.91359,9.51384e-05,9.51384e-05,9.51384e-05
129,13786.3,1.33732,0.83075,0.89883,0.86179,0.7546,0.80841,0.6062,1.32877,0.78594,0.91575,9.12576e-05,9.12576e-05,9.12576e-05
130,13846.4,1.33467,0.83039,0.89798,0.86122,0.75617,0.81026,0.61127,1.32595,0.78148,0.91549,8.73768e-05,8.73768e-05,8.73768e-05
131,13893,1.32536,0.82576,0.8965,0.85681,0.75648,0.80844,0.60976,1.32688,0.78673,0.91617,8.3496e-05,8.3496e-05,8.3496e-05
132,14038,1.31906,0.81978,0.89492,0.86614,0.75505,0.81084,0.61673,1.31456,0.77498,0.91352,7.96152e-05,7.96152e-05,7.96152e-05
133,14143.3,1.30159,0.80487,0.89761,0.86514,0.75508,0.81319,0.61654,1.31055,0.77393,0.91248,7.57344e-05,7.57344e-05,7.57344e-05
134,14250.2,1.33162,0.82729,0.90299,0.85674,0.75872,0.81272,0.60952,1.32069,0.77463,0.9141,7.18536e-05,7.18536e-05,7.18536e-05
135,14284.5,1.32722,0.82445,0.8998,0.87052,0.75165,0.81128,0.6146,1.31604,0.77449,0.91245,6.79728e-05,6.79728e-05,6.79728e-05
136,14345.8,1.33481,0.8207,0.90034,0.87028,0.75347,0.81361,0.61649,1.31459,0.77482,0.9132,6.4092e-05,6.4092e-05,6.4092e-05
137,14409.6,1.30939,0.81257,0.89744,0.87118,0.75681,0.81457,0.61551,1.31108,0.77197,0.91313,6.02112e-05,6.02112e-05,6.02112e-05
138,14470.1,1.31695,0.81708,0.90265,0.86741,0.75605,0.81556,0.61793,1.30766,0.77009,0.91177,5.63304e-05,5.63304e-05,5.63304e-05
139,14525.6,1.34861,0.82924,0.89959,0.87335,0.75312,0.81323,0.61768,1.30961,0.77226,0.91165,5.24496e-05,5.24496e-05,5.24496e-05
140,14580.8,1.31481,0.81202,0.89961,0.87061,0.76149,0.81614,0.61456,1.31665,0.7719,0.91378,4.85688e-05,4.85688e-05,4.85688e-05
141,14785.1,1.34458,0.84578,0.90554,0.84804,0.75612,0.80952,0.60656,1.32857,0.79674,0.9175,4.4688e-05,4.4688e-05,4.4688e-05
142,14815.7,1.32687,0.8251,0.90304,0.836,0.75447,0.80661,0.60295,1.33539,0.80487,0.91769,4.08072e-05,4.08072e-05,4.08072e-05
143,14860.4,1.32358,0.81715,0.89958,0.87109,0.74778,0.81153,0.60677,1.3305,0.79667,0.91696,3.69264e-05,3.69264e-05,3.69264e-05
144,14908,1.30796,0.80903,0.89763,0.86424,0.75491,0.81322,0.6107,1.32448,0.78809,0.91488,3.30456e-05,3.30456e-05,3.30456e-05
145,14932.7,1.30233,0.7959,0.90019,0.87468,0.74606,0.81307,0.61252,1.32289,0.7878,0.91457,2.91648e-05,2.91648e-05,2.91648e-05
